Source_Station_Name,Average_Trains_Per_Day
CST-MUMBAI,72.85714285714286
SEALDAH,52.42857142857143
HOWRAH JN.,47.42857142857143
KALYAN JN,40.714285714285715
CHENNAI BEACH,31.714285714285715
THANE,26.571428571428573
TAMBARAM,20.0
PANVEL,20.0
NEW DELHI,15.285714285714286
RAVLI JN,14.142857142857142
VASHI,13.142857142857142
DELHI JN.,11.714285714285714
CHENNAI CENTRAL,11.142857142857142
BARDDHAMAN JN.,10.571428571428571
CHENGALPATTU,10.571428571428571
PUNE JN.,10.571428571428571
BANDEL JN.,10.428571428571429
LOKMANYA TILAK TERMINUS,10.0
LUCKNOW JN.,9.571428571428571
GORAKHPUR JN.,9.571428571428571
HAZRAT NIZAMUDDIN JN,9.428571428571429
PATNA JN.,9.285714285714286
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),9.142857142857142
AHMEDABAD,9.142857142857142
SECUNDERABAD JN.,9.0
YESVANTPUR JN.,8.571428571428571
AMRITSAR JN.,8.142857142857142
TIRUPATI,7.714285714285714
BELAPUR C.B.D,7.285714285714286
PURI,7.0
BANDRA TERMINUS,7.0
RANAGHAT JN.,7.0
VISAKHAPATNAM,6.857142857142857
BANGAON JN.,6.857142857142857
NAIHATI JN.,6.714285714285714
ANAND VIHAR TERMINAL,6.714285714285714
DADAR,6.285714285714286
ASANSOL MAIN,6.0
VIJAYWADA JN.,6.0
KANPUR CENTRAL JN.,5.857142857142857
INDORE BG,5.857142857142857
ERNAKULAM. JN,5.714285714285714
VARANASI JN.,5.714285714285714
AMBERNATH,5.571428571428571
TITVALA,5.571428571428571
LAKSHMIKANTAPUR,5.428571428571429
KARJAT,5.428571428571429
JAIPUR JN.,5.142857142857143
MYSORE JN.,5.142857142857143
TRIVANDRUM CENTRAL,5.0
BADLAPUR,5.0
KOLKATA,5.0
GUWAHATI,5.0
DOMBIVLI,4.714285714285714
KATIHAR JN.,4.714285714285714
KHARAGPUR,4.571428571428571
BUDGE BUDGE,4.428571428571429
BHUBANESWAR,4.428571428571429
JODHPUR JN.,4.285714285714286
HYDERABAD DECCAN,4.285714285714286
BILASPUR JN.,4.285714285714286
KACHEGUDA,4.285714285714286
CHENNAI EGMORE,4.285714285714286
TATANAGAR JN,4.285714285714286
COIMBATORE  JN.,4.285714285714286
TIRUCHIRAPPALLI JN.,4.285714285714286
AMBALA CANTT JN,4.142857142857143
CANNING,4.142857142857143
QUILON,4.142857142857143
JAMMU TAWI,4.142857142857143
KURLA,4.0
NERUL,4.0
TARAKESHWAR,4.0
FIROZPUR CANTT JN.,4.0
MUZAFFARPUR JN.,3.857142857142857
AJMER JN.,3.857142857142857
DIAMOND HARBOUR,3.857142857142857
JALANDHAR CITY JN.,3.857142857142857
MANGALORE CENTRAL,3.857142857142857
GHAZIABAD JN.,3.7142857142857144
DURG,3.7142857142857144
RANCHI,3.7142857142857144
GAYA JN.,3.7142857142857144
KRISHNA NAGAR CITY JN.,3.7142857142857144
BARUIPUR JN.,3.5714285714285716
ANAND JN.,3.5714285714285716
BIKANER JN.,3.5714285714285716
SANTRAGACHI JN.,3.5714285714285716
REWARI JN.,3.5714285714285716
JABALPUR,3.5714285714285716
HUBLI JN.,3.4285714285714284
DELHI-SARAI ROHILLA,3.4285714285714284
MUMBAI CENTRAL,3.4285714285714284
MORADABAD JN.,3.4285714285714284
SAHARSA JN.,3.2857142857142856
GUNTUR JN.,3.142857142857143
HASANABAD,3.142857142857143
CHHAPRA JN.,3.142857142857143
BARASAT JN.,3.142857142857143
VADODARA JN.,3.0
SHRI GANGANAGAR,3.0
DAHANU ROAD,3.0
DANKUNI JN.,3.0
SHANTIPUR JN.,3.0
MADURAI JN,3.0
GONDIA JN.,3.0
JASIDIH JN.,3.0
KATWA JN.,3.0
NANDED,3.0
SURAT,3.0
SHRI MATA VAISHNO DEVI KATRA,3.0
LUDHIANA JN.,2.857142857142857
MIDNAPORE,2.857142857142857
GEDE,2.857142857142857
JAMALPUR JN.,2.857142857142857
SAMASTIPUR JN.,2.857142857142857
BARAUNI JN.,2.857142857142857
ASANGAON,2.857142857142857
HARIDWAR JN,2.7142857142857144
RAXAUL JN.,2.7142857142857144
SHALIMAR,2.7142857142857144
TIRUNELVELI JN,2.7142857142857144
RAIPUR JN.,2.7142857142857144
DEHRA DUN,2.7142857142857144
MUMBAI VADALA ROAD,2.7142857142857144
KASARA,2.5714285714285716
NAGPUR JN.(CR),2.5714285714285716
HATIA,2.5714285714285716
DARBHANGA JN.,2.5714285714285716
JAYNAGAR,2.5714285714285716
KAMAKHYA JN,2.5714285714285716
BARRACKPORE,2.5714285714285716
SOLAPUR,2.5714285714285716
SONARPUR JN.,2.5714285714285716
KOTA,2.5714285714285716
LONAVLA,2.5714285714285716
KALYANI SIMANTA,2.4285714285714284
PALASDARI,2.4285714285714284
ALLAHABAD JN.,2.4285714285714284
NAGERCOIL JN.,2.4285714285714284
BAREILLY JN.,2.4285714285714284
VIRAR,2.4285714285714284
CHANDIGARH,2.4285714285714284
BHAGALPUR,2.4285714285714284
PALWAL,2.2857142857142856
ARAKKONAM JN,2.2857142857142856
UDAIPUR CITY,2.2857142857142856
ADRA,2.2857142857142856
BHAVNAGAR TERMINUS,2.2857142857142856
KASGANJ JN.,2.2857142857142856
MATHURA JN.,2.2857142857142856
BHOPAL,2.2857142857142856
DHANBAD JN.,2.2857142857142856
BATHINDA JN,2.2857142857142856
NEW JALPAIGURI JN,2.2857142857142856
OKHA,2.2857142857142856
PONDICHERRY,2.2857142857142856
KOCHUVELI,2.142857142857143
SEORAPHULI JN.,2.142857142857143
ROHTAK JN.,2.142857142857143
BAREILLY CITY,2.142857142857143
MAYILADUTURAI JN.,2.142857142857143
JIND JN,2.142857142857143
MALDA TOWN,2.142857142857143
MADGOAN JN.,2.0
SILIGURI JN.,2.0
NAMKHANA,2.0
HISAR JN,2.0
VILLUPURAM JN.,2.0
MOOR MARKET,2.0
RAJENDRANAGAR TERMINAL,2.0
SAHARANPUR JN.,2.0
PATHANKOT JN.,2.0
SAI NAGAR SHIRDI,2.0
RATLAM JN,2.0
ARAMBAG,1.8571428571428572
SILCHAR,1.8571428571428572
RAMESWARAM,1.8571428571428572
DIBRUGARH,1.8571428571428572
FALAKNUMA,1.8571428571428572
ERODE JN.,1.8571428571428572
MAJERHAT,1.8571428571428572
MUGHAL SARAI JN.,1.8571428571428572
NARASAPUR,1.8571428571428572
MERTA ROAD JN.,1.8571428571428572
KURUKSHETRA JN.,1.8571428571428572
SHAKUR BASTI,1.8571428571428572
PANSKURA,1.8571428571428572
PORBANDAR,1.8571428571428572
CHHATRAPATI SHAHU MAHARAJ TERMINUS,1.7142857142857142
FAZILKA JN.,1.7142857142857142
AGRA CANTT,1.7142857142857142
DANAPUR,1.7142857142857142
MACHILIPATNAM,1.7142857142857142
ITWARI JN.,1.7142857142857142
MHOW,1.7142857142857142
KANNIYAKUMARI,1.7142857142857142
PANIPAT JN.,1.7142857142857142
RAMNAGAR,1.7142857142857142
NARKATIAGANJ JN.,1.7142857142857142
VALSAD,1.7142857142857142
MANDUADIH,1.7142857142857142
VASCO-DA-GAMA,1.5714285714285714
TIRUMALPUR,1.5714285714285714
TENALI JN.,1.5714285714285714
RAJKOT,1.5714285714285714
PRAYAG JN.,1.5714285714285714
